material_id,formula_pretty,formula_anonymous,band_gap,energy_above_hull,density,volume,nsites,nelements,elements,crystal_system,spacegroup_symbol,spacegroup_number,status,error
mp-2715195,Na14Al4Si9Ge4(SO16)3,A3B4C4D9E14F48,2.6234,0.12126872901422647,3.1876684513995377,2871.2580834767864,246,6,"Al,Ge,Na,O,S,Si",Triclinic,P1,1,ok,
mp-2715196,Na10Al4In4Si5S7O48,A4B4C5D7E10F48,2.8257,0.11280386957264898,3.147999049345653,3054.089191833975,234,6,"Al,In,Na,O,S,Si",Triclinic,P1,1,ok,
mp-2715197,Na24Ca10Ta2Si9(SO8)9,A2B9C9D10E24F72,2.5009999999999994,0.0901978898082012,2.785275322480433,1793.1700566110114,126,6,"Ca,Na,O,S,Si,Ta",Triclinic,P1,1,ok,
mp-2715198,Na30Mg16Nb8Si15(S7O48)3,A8B15C16D21E30F144,1.245,0.10743292908119795,2.7738272951459453,3125.159819840031,234,6,"Mg,Na,Nb,O,S,Si",Triclinic,P1,1,ok,
mp-2715199,Na14In4Si9Ge4(SO16)3,A3B4C4D9E14F48,2.4142,0.11038984135161911,3.496970355599987,3117.8100497848823,246,6,"Ge,In,Na,O,S,Si",Triclinic,P1,1,ok,
mp-2715200,Na8TiZn3(PO4)6,AB3C6D8E24,1.6831,0.04953445796349065,3.2179661370545483,1544.7205865708997,126,5,"Na,O,P,Ti,Zn",Trigonal,P3,143,ok,
mp-2715201,Na8Mg2Al2Si3(SO8)3,A2B2C3D3E8F24,2.9212999999999996,0.13728889865079275,2.77801817237599,1525.9076631581347,126,6,"Al,Mg,Na,O,S,Si",Triclinic,P1,1,ok,
mp-2715202,Na9Ca11Ta(SO4)18,AB9C11D18E72,2.032,0.026744352612611877,2.3876621266324567,1778.892501932578,111,5,"Ca,Na,O,S,Ta",Triclinic,P1,1,ok,
mp-2715204,Na10Y4Ga4Si5S7O48,A4B4C5D7E10F48,2.9609000000000005,0.12513351282051488,3.038891408621181,3274.0948206560697,234,6,"Ga,Na,O,S,Si,Y",Triclinic,P1,1,ok,
mp-2715205,Na4MgIn(PO4)3,ABC3D4E12,3.5332,0.009163849484127518,3.2260211157370144,1593.6010786051395,126,5,"In,Mg,Na,O,P",Trigonal,R3c,161,ok,
mp-2715206,Na10La4Ga4Si5S7O48,A4B4C5D7E10F48,2.8849,0.14095334376780144,3.194247373347715,3426.764809177835,234,6,"Ga,La,Na,O,S,Si",Triclinic,P1,1,ok,
